0,B,2743
2743,C,2465
2465,B,653
653,C,1463
1463,B,1228
1228,C,3662
3662,B,738
738,C,316
316,B,3680
3680,C,1349
1349,D,2728
2728,B,772
772,C,2157
2157,B,1806
1806,C,1446
1446,B,1180
1180,C,322
322,B,105
105,C,3497
3497,B,1031
1031,C,2330
2330,B,1630
1630,C,912
912,B,2552
2552,C,3071
3071,D,1294
1294,B,690
690,C,1809
1809,B,598
598,C,565
565,B,1257
1257,C,550
550,B,1181
1181,C,423
423,B,491
491,C,663
663,B,887
887,C,618
618,B,1638
1638,C,86
86,B,1409
1409,C,56
56,D,596
596,B,1014
1014,C,153
153,D,820
820,D,608
608,D,503
503,B,628
628,C,102
102,D,1172
1172,D,375
375,B,1037
1037,C,584
584,B,1085
1085,C,763
763,B,847
847,C,1189
1189,B,647
647,C,903
903,B,127
127,C,2409
2409,B,1973
1973,C,2377
2377,B,893
893,C,2132
2132,B,1105
1105,C,858
858,B,696
696,C,1563
1563,B,810
810,C,1256
1256,D,1963
1963,B,223
223,C,552
552,B,3464
3464,C,251
251,B,2676
2676,C,211
211,B,1316
1316,C,880
880,B,1300
1300,C,2296
2296,D,1868
1868,D,3376
3376,B,3402
3402,C,1240
1240,B,476
476,C,89
89,B,725
725,C,2259
2259,B,363
363,C,1950
1950,D,10
10,B,571
571,C,934
934,B,1305
1305,C,2669
2669,B,2626
2626,C,1953
1953,B,619
619,C,1248
1248,B,644
644,C,561
561,B,3329
3329,C,872
872,B,2383
2383,C,2057
2057,B,4013
4013,C,1103
1103,B,1128
1128,C,1102
1102,B,3533
3533,C,3473
3473,D,237
237,B,2213
2213,C,1255
1255,D,1948
1948,D,579
579,B,2388
2388,C,204
204,B,2943
2943,C,692
692,B,1467
1467,C,5339
5339,B,3311
3311,C,702
702,B,3075
3075,C,650
650,B,411
411,C,3807
3807,B,1914
1914,C,1347
1347,B,5308
5308,C,3941
3941,D,5194
5194,B,1108
1108,C,348
348,B,1145
1145,C,405
405,D,5537
5537,D,2693
2693,D,271
271,B,2566
2566,C,281
281,B,2661
2661,C,40
40,D,2494
2494,B,6161
6161,C,4607
4607,B,5408
5408,C,1115
1115,D,4457
4457,B,31
31,C,7060
7060,B,7183
7183,C,1310
1310,D,1703
